UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
104151,32,11,1,3,"R",7509,"R",4610,"R",2899,"R",71,"R",31,"R",40,"R",304,"R",158,"R",146,"R",152,"R",78,"R",74,"R",534,"R",301,"R",233,"R",10,"R",5,"R",5,"R",3387,"R",1953,"R",1434,"R",132,"R",70,"R",62,"R",68,"R",39,"R",29,"R",2851,"R",1975,"R",876
104151,39, 2,1,1,"R",2863,"R",1559,"R",1304,"R",48,"R",20,"R",28,"R",120,"R",67,"R",53,"R",141,"R",78,"R",63,"R",570,"R",284,"R",286,"R",9,"R",4,"R",5,"R",1669,"R",939,"R",730,"R",108,"R",48,"R",60,"R",13,"R",5,"R",8,"R",185,"R",114,"R",71
104151,40, 3,1,1,"R",24875,"R",13795,"R",11080,"R",349,"R",161,"R",188,"R",1729,"R",972,"R",757,"R",950,"R",468,"R",482,"R",4449,"R",2311,"R",2138,"R",71,"R",44,"R",27,"R",14564,"R",8120,"R",6444,"R",903,"R",443,"R",460,"R",154,"R",85,"R",69,"R",1706,"R",1191,"R",515
104151,41,28,2,4,"R",6204,"R",3521,"R",2683,"R",115,"R",54,"R",61,"R",372,"R",201,"R",171,"R",294,"R",150,"R",144,"R",1018,"R",564,"R",454,"R",10,"R",7,"R",3,"R",3752,"R",2145,"R",1607,"R",143,"R",73,"R",70,"R",126,"R",82,"R",44,"R",374,"R",245,"R",129
104151,42,22,2,1,"R",3741,"R",2187,"R",1554,"R",69,"R",34,"R",35,"R",213,"R",121,"R",92,"R",213,"R",112,"R",101,"R",758,"R",430,"R",328,"R",8,"R",5,"R",3,"R",2259,"R",1353,"R",906,"R",105,"R",56,"R",49,"R",50,"R",36,"R",14,"R",66,"R",40,"R",26
104151,43,20,2,1,"R",3628,"R",2135,"R",1493,"R",68,"R",34,"R",34,"R",205,"R",117,"R",88,"R",207,"R",111,"R",96,"R",742,"R",422,"R",320,"R",7,"R",5,"R",2,"R",2189,"R",1320,"R",869,"R",101,"R",55,"R",46,"R",49,"R",35,"R",14,"R",60,"R",36,"R",24
104151,44,15,2,1,"R",57,"R",37,"R",20,"Z",0,"Z",0,"Z",0,"R",9,"R",6,"R",3,"R",4,"R",3,"R",1,"R",16,"R",10,"R",6,"Z",0,"Z",0,"Z",0,"R",19,"R",13,"R",6,"R",3,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",6,"R",4,"R",2
104151,45,99,2,1,"R",3571,"R",2098,"R",1473,"R",68,"R",34,"R",34,"R",196,"R",111,"R",85,"R",203,"R",108,"R",95,"R",726,"R",412,"R",314,"R",7,"R",5,"R",2,"R",2170,"R",1307,"R",863,"R",98,"R",54,"R",44,"R",49,"R",35,"R",14,"R",54,"R",32,"R",22
104151,51,21,2,1,"R",113,"R",52,"R",61,"R",1,"Z",0,"R",1,"R",8,"R",4,"R",4,"R",6,"R",1,"R",5,"R",16,"R",8,"R",8,"R",1,"Z",0,"R",1,"R",70,"R",33,"R",37,"R",4,"R",1,"R",3,"R",1,"R",1,"Z",0,"R",6,"R",4,"R",2
104151,52,25,2,3,"R",2463,"R",1334,"R",1129,"R",46,"R",20,"R",26,"R",159,"R",80,"R",79,"R",81,"R",38,"R",43,"R",260,"R",134,"R",126,"R",2,"R",2,"Z",0,"R",1493,"R",792,"R",701,"R",38,"R",17,"R",21,"R",76,"R",46,"R",30,"R",308,"R",205,"R",103
104151,59,16,2,1,"R",491,"R",267,"R",224,"R",8,"R",1,"R",7,"R",25,"R",13,"R",12,"R",18,"R",8,"R",10,"R",124,"R",71,"R",53,"R",1,"R",1,"Z",0,"R",287,"R",163,"R",124,"R",22,"R",6,"R",16,"R",3,"R",2,"R",1,"R",3,"R",2,"R",1
104151,60,17,2,1,"R",3080,"R",1831,"R",1249,"R",60,"R",33,"R",27,"R",171,"R",98,"R",73,"R",185,"R",100,"R",85,"R",602,"R",341,"R",261,"R",6,"R",4,"R",2,"R",1883,"R",1144,"R",739,"R",76,"R",48,"R",28,"R",46,"R",33,"R",13,"R",51,"R",30,"R",21
