Neural Networks,
Advanced Engineering Informatics,
Information Retrieval,
MICRO,
IEEE Transactions on Image Processing,
IEEE Transactions on Multimedia,
Natural Language Engineering,
International Journal of Computer Vision,
Briefings in Bioinformatics,
Decision Support Systems,
Journal of Systems and Software,
Artificial Life,
Higher Order and Symbolic Computation,
International Journal of Geographical Information Science,
Service Oriented Computing and Applications,
Distributed and Parallel Databases,
IEEE Transactions on Communications,
INFORMS Journal on Computing,
ACM Transactions on Algorithms,
Computer Communications,
Networks,
Signal Processing,
Proceedings of the IEEE,
ACM Symposium on User Interface Software and Technology,
Computer Aided Geometric Design,
Personal and Ubiquitous Computing,
Pattern Recognition Letters,
IEEE Conference on Computational Complexity,
IET Software,
GeoInformatica,
Natural Computing,
USENIX Security Symposium,
Algorithmica,
Pattern Recognition,
International Conference on Supercomputing,
Ad Hoc Networks,
Theoretical Computer Science,
Graphical Models,
Discrete   Computational Geometry,
The Visual Computer,
Computational Linguistics,
Peer to Peer Networking and Applications,
Computational Intelligence,
SCIENCE CHINA Information Sciences,
Computational Complexity,
Mathematical Structures in Computer Science,
Journal of Machine Learning Research,
EuroSys,
IEEE Transactions on Robotics,
Neurocomputing,
Selected Areas in Cryptography,
Distributed Computing,
Neural Processing Letters,
Computer Networks,
Fuzzy Sets and Systems,
IEEE Transactions on Information Technology in Biomedicine,
Computer Vision and Image Understanding,
IEEE Transactions on Information Forensics and Security,
Web Intelligence and Agent Systems,
Security and Communication Networks,
Neural Computation,
Bioinformatics,
Formal Methods in System Design,
European Test Symposium,
Cluster Computing,
Wireless Networks,
Information Systems,
BMC Bioinformatics,
PLoS Computational Biology,
Computers   Security,
Journal of Computer Security,
Empirical Software Engineering,
Speech Communication,
Expert Systems,
Symposium on Solid and Physical Modeling,
Pervasive and Mobile Computing,
Parallel Computing,
Requirements Engineering,
IEEE Transactions on Wireless Communications,
Human computer interaction,
Machine Translation,
Medical Image Analysis,
Cybernetics and Systems,
Logical Methods in Computer Science,
Computer Supported Cooperative Work,
Software and System Modeling,
Software Quality Journal,
Computer Aided Design,
IEEE Transactions on Network and Service Management,
Information and Management,
The Journal of Supercomputing,
Discrete Applied Mathematics,
Shape Modeling International,
Frontiers of computer science,
Data Compression Conference,
Machine Learning,
Evolutionary Computation,
Computer Graphics International,
Interacting with Computers,
Internet Measurement Conference,
Artificial Intelligence,
